Surfactant,SMILES
DTAB,[N+](C)(C)C.[Br-]
SDS,OS(=O)(=O)[O-].[Na+]
DDAPS,[N+](C)(C)CCCS([O-])(=O)=O
DDAO,[N+](C)(C)[O-]
DPC,OP(=O)([O-])OCC[N+](C)(C)C
DTAB_1,[N+](C)(C)C
SDS_1,OS(=O)(=O)[O-]
