Surfactant,SMILES
T,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C
TP,CCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
TE,CCCCCCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
